,IntervationName,Profit,threshold_0,threshold_1,TruePositive0,FalsePositive0,PositiveRate0,NegativeRate0,TruePositiveRate0,FalsePositiveRate0,TruePositive1,FalsePositive1,PositiveRate1,NegativeRate1,TruePositiveRate1,FalsePositiveRate1
0,MaxProfit,-145.5,0.2,0.2,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1622,1183,0.903090792015454,0.09690920798454604,0.9695158398087268,0.8255408234473133
0,GroupUnawareness,-145.5,0.2,0.2,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1622,1183,0.903090792015454,0.09690920798454604,0.9695158398087268,0.8255408234473133
0,DemographicParity,-145.5,0.2,0.2,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1622,1183,0.903090792015454,0.09690920798454604,0.9695158398087268,0.8255408234473133
0,MaxProfit,-118.0,0.2,0.21000000000000002,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1615,1160,0.8934320669671604,0.10656793303283967,0.9653317393903168,0.8094905792044662
0,DemographicParity,-118.0,0.2,0.21000000000000002,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1615,1160,0.8934320669671604,0.10656793303283967,0.9653317393903168,0.8094905792044662
0,MaxProfit,-93.5,0.2,0.22000000000000003,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1605,1137,0.8828074694140373,0.11719253058596266,0.9593544530783025,0.793440334961619
0,DemographicParity,-93.5,0.2,0.22000000000000003,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1605,1137,0.8828074694140373,0.11719253058596266,0.9593544530783025,0.793440334961619
0,EqualOpportunity,-93.5,0.2,0.22000000000000003,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1605,1137,0.8828074694140373,0.11719253058596266,0.9593544530783025,0.793440334961619
0,MaxProfit,-42.5,0.2,0.23000000000000004,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1590,1093,0.8638119768190599,0.13618802318094012,0.9503885236102809,0.7627355198883461
0,DemographicParity,-42.5,0.2,0.23000000000000004,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1590,1093,0.8638119768190599,0.13618802318094012,0.9503885236102809,0.7627355198883461
0,MaxProfit,-9.0,0.2,0.24000000000000005,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1580,1064,0.8512556342562781,0.14874436574372182,0.9444112372982666,0.7424982554082344
0,DemographicParity,-9.0,0.2,0.24000000000000005,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1580,1064,0.8512556342562781,0.14874436574372182,0.9444112372982666,0.7424982554082344
0,MaxProfit,24.5,0.2,0.25000000000000006,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1573,1037,0.8403090792015454,0.1596909207984546,0.9402271368798566,0.7236566643405443
0,DemographicParity,24.5,0.2,0.25000000000000006,1075,712,0.8939469734867433,0.10605302651325663,0.9555555555555556,0.8146453089244852,1573,1037,0.8403090792015454,0.1596909207984546,0.9402271368798566,0.7236566643405443
